YDL212W	YPL076W
YER170W	YGL122C
YDR238C	YPL057C
YKL139W	YLR403W
YGR274C	YJR140C
YIL070C	YJR113C
YFR033C	YPL141C
YDR335W	YLL039C
YHR096C	YJR066W
YBL032W	YPL184C
YEL044W	YLR052W
YHR133C	YPL227C
YGL122C	YPL144W
YBR031W	YOL077C
YGL071W	YGR211W
YIL119C	YNL107W
YAL026C	YPR129W
YBR135W	YBR252W
YGL137W	YKL049C
YFR024C-A	YHR082C
YJR059W	YPL019C
YDR359C	YOR244W
YBL030C	YBR024W
YHR082C	YMR102C
YNL154C	YPR158W-A
YCR087C-A	YML065W
YHR200W	YKL152C
YGL120C	YMR093W
YGR268C	YLL039C
YGL122C	YOR349W
YBR194W	YGR186W
YBL007C	YFR013W
YIR010W	YML032C
YDR240C	YFL017W-A
YGL019W	YMR309C
YHR165C	YIL061C
YER115C	YJL020C
YBR162C	YGR040W
YLR258W	YOR244W
YDR381W	YJL128C
YGL058W	YGR180C
YCR034W	YPR192W
YHL001W	YIR010W
YJL164C	YKL160W
YFR014C	YLR274W
YBR106W	YLR378C
YDR170C	YLL039C
YGL180W	YGR021W
YBL032W	YNL192W
YER178W	YNL071W
YLR131C	YNL197C
YBL032W	YLR036C
YGR097W	YLR113W
YLL019C	YOR201C
YFR034C	YOL004W
YFL037W	YGL122C
YGR218W	YJL074C
YDL140C	YEL009C
YER025W	YLR367W
YBR172C	YOL139C
YOL091W	YOR373W
YGR040W	YLR316C
YBL017C	YPL049C
YFR004W	YLR438W
YJL164C	YOR056C
YBR112C	YGL025C
YHR099W	YPR070W
YDR267C	YOL111C
YKL174C	YPL240C
YDL239C	YHR184W
YCL009C	YGL116W
YCR042C	YNL222W
YDR041W	YIL070C
YJR035W	YPR191W
YNL255C	YOR232W
YCR072C	YPR016C
YDR477W	YMR102C
YKR029C	YPR152C
YAL005C	YLR424W
YDR471W	YGL076C
YDL239C	YLR098C
YBL032W	YNL230C
YJR062C	YOR231W
YKR065C	YNR017W
YGR090W	YLL019C
YKL197C	YOL044W
YBL085W	YPL055C
YAL055W	YOL044W
YGL122C	YOR042W
YLR238W	YML123C
YGL122C	YNL262W
YBR160W	YKL129C
YLR113W	YOL123W
YAL032C	YPR189W
YDR301W	YKL018W
YBL032W	YDL224C
YGL198W	YNL304W
YCR057C	YMR229C
YDL229W	YFR031C
YDR415C	YNR051C
YBR160W	YDR501W
YDR101C	YNL227C
YGL059W	YLL018C
YDL148C	YIL019W
YBL095W	YPL209C
YDR130C	YGR085C
YFR049W	YNL255C
YGR047C	YLR115W
YML064C	YPL218W
YGL122C	YNR016C
YDR510W	YGL008C
YGL122C	YGR248W
YBR089C-A	YJL176C
YBR055C	YPR160W
YLR002C	YLR449W
YGL122C	YOR094W
YER025W	YJR007W
YJL034W	YMR307W
YER043C	YGL237C
YLL008W	YOR267C
YJL187C	YOR023C
YDR146C	YPL254W
YER151C	YHL011C
YDR174W	YMR044W
YKR079C	YPR106W
YCR086W	YPL018W
YDR237W	YDR405W
YAL032C	YNL078W
YNR051C	YOR133W
YLR061W	YNL255C
YDR510W	YGL250W
YEL034W	YHR027C
YIL094C	YML126C
YGL097W	YNL247W
YKL089W	YOR061W
YGL141W	YHR200W
YLR109W	YNL312W
YHR056C	YML127W
YGR213C	YHR134W
YBR122C	YGR220C
YBR257W	YHR062C
YBR298C	YKL065C
YGL186C	YNL307C
YDR507C	YLR258W
YJR059W	YNL167C
YKL134C	YNL021W
YLR196W	YLR233C
YFR052W	YMR276W
YGL122C	YKL150W
YFL004W	YGL122C
YJL011C	YOR224C
YLR093C	YPL195W
YGL122C	YLR429W
YDL147W	YDR179C
YGL179C	YKR096W
YDL229W	YML096W
YDL126C	YDL140C
YKL008C	YLR372W
YGR220C	YHR147C
YBR107C	YOR030W
YER052C	YHR027C
YLL026W	YOR007C
YBR189W	YOR312C
YER086W	YPL240C
YER151C	YMR300C
YER059W	YMR165C
YJL098W	YNL289W
YDL029W	YDL149W
YCR073W-A	YHR082C
YKR039W	YMR307W
YGL122C	YOL047C
YFL031W	YNL330C
YDL145C	YPL031C
YNL061W	YOR005C
YLR276C	YOL127W
YBL032W	YOL001W
YDR224C	YJL208C
YIL069C	YJR002W
YIL066C	YKL011C
YKL009W	YPL249C-A
YDL070W	YNR034W
YBR084C-A	YER151C
YBR189W	YNL124W
YDR028C	YLR028C
YGL019W	YOR267C
YDL145C	YJL187C
YCR091W	YHR056C
YHR039C	YML012W
YJL025W	YOR284W
YBR135W	YFR050C
YDR422C	YDR516C
YLR276C	YOR206W
YGR128C	YNL132W
YIR010W	YNL087W
YHR200W	YNL096C
YFL039C	YLR093C
YBR056W	YGL122C
YDL060W	YPR161C
YJR109C	YMR106C
YHL002W	YNL094W
YGR270W	YPR019W
YKL198C	YNR016C
YGL122C	YOR039W
YBL071W-A	YLR429W
YAR007C	YBL003C
YGL122C	YJR133W
YBL043W	YDR099W
YHR166C	YKL145W
YBR079C	YHR027C
YHR197W	YML073C
YML124C	YNL148C
YDL055C	YIL075C
YDR034C	YHR077C
YHL015W	YHR064C
YDR425W	YJL164C
YER133W	YGR097W
YFR037C	YKR008W
YCR020W-B	YCR052W
YCL014W	YFR028C
YKL049C	YLR467W
YJL069C	YKL012W
YIL135C	YJR059W
YNL154C	YNR019W
YDL214C	YML037C
YKL088W	YOR039W
YGL061C	YKL138C-A
YCR038C	YGR041W
YJR096W	YPL150W
YNL085W	YNL250W
YJL050W	YMR137C
YLL039C	YNL243W
YBR017C	YLL018C
YGL245W	YPL144W
YAL021C	YER165W
YGL030W	YNL207W
YBL032W	YGL180W
YER151C	YGR186W
YKL049C	YML075C
YGR046W	YLR259C
YAR002C-A	YNL044W
YGL011C	YOR157C
YLR430W	YNL251C
YBR145W	YGL122C
YGR040W	YJR105W
YHR019C	YNL244C
YOL107W	YPL141C
YDR156W	YNL172W
YDL148C	YPR137W
YMR109W	YNR016C
YDR510W	YGL150C
YBR077C	YGL122C
YDR023W	YFR034C
YDR378C	YGL251C
YLR432W	YPL198W
YKL048C	YKL142W
YLL013C	YOL128C
YHR027C	YLR134W
YBR261C	YPR113W
YFL050C	YGL059W
YLR096W	YOL138C
YKR091W	YPL256C
YIR010W	YPL127C
YBR160W	YFR028C
YBL032W	YLL049W
YIR034C	YNL255C
YDL149W	YLL039C
YFL023W	YJL164C
YKR048C	YOR230W
YAL005C	YOL033W
YFR010W	YLR246W
YDR339C	YGL122C
YHR001W	YPL221W
YDL012C	YIL172C
YCR052W	YGR056W
YBR069C	YFR024C-A
YER148W	YPR056W
YHR181W	YNL197C
YBL054W	YNL118C
YML054C	YPL063W
YBR283C	YMR149W
YLR429W	YNL154C
YNL178W	YPR129W
YBR127C	YPR116W
YHR121W	YPR175W
YFL008W	YOL115W
YDL216C	YGL122C
YGR250C	YKL049C
YML063W	YMR242C
YDR392W	YGL066W
YBR127C	YOR189W
YDR211W	YNL124W
YJR123W	YJR145C
YML114C	YPL129W
